Genes,E3_0,E3_1,E3_2,E4_0,E4_1,E4_2
A1BG,7.4347,7.03055,7.69389,8.12753,7.29819,9.84681
A1BG-AS1,1.60185,1.76264,2.00262,1.3906,1.28898,1.30781
A1CF,0.00999722,0.0110008,0.039571,0.0109289,0.030418,0.0496118
A2M,7.22259,7.09447,6.91785,9.25621,10.4612,10.5586
A2M-AS1,1.92191,1.56095,1.71891,1.00048,1.25195,1.58781
A2ML1,0.0506361,0.0278593,0.0753735,0,0.036882,0
A2MP1,0.0909598,0,0,0,0,0
A4GALT,3.60455,3.01445,3.18312,0.788092,0.681802,1.7153
A4GNT,0.0578984,0,0,0,0,0
AA06,0,0,0,0,0,0
AAAS,36.2015,38.1997,37.764,27.9408,33.4328,34.7582
AACS,10.2205,10.2852,11.1107,10.8228,9.61883,10.3346
AACSP1,0.553018,0.507109,0.364448,0.0503795,0,0.0456882
AADAC,0.323533,0.284808,0.703604,1.5562,2.09816,2.05279
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0.0661683,0,0,0.0723345,0.201146,0.196797
AADAT,5.88015,7.42927,6.3834,5.63158,6.59009,6.17243
AAED1,5.1518,6.45087,5.61951,6.60291,5.49036,7.13284
AAGAB,14.5712,13.8386,15.6631,12.3313,12.1615,11.6766
AAK1,2.99175,3.25886,3.05117,3.49204,3.59506,3.26944
AAMDC,60.2885,44.7798,59.5967,59.3161,43.6798,48.1146
AAMP,40.5962,41.5299,39.1144,48.3117,46.1121,52.1907
AANAT,0,0.0584204,0.10903,0.116077,0.223526,0.0526341
AAR2,18.8888,20.6969,21.186,18.9962,19.2191,21.7941
AARD,0.917597,0.883494,0.96376,1.56736,0.871693,1.42141
AARS,57.1163,52.8943,57.5753,86.5487,84.9105,90.3532
AARS2,7.71311,7.65826,8.07541,6.1776,5.86682,6.66386
AARSD1,19.1141,19.4452,19.7101,19.831,16.401,21.0851
AASDH,5.21819,4.31394,4.99795,4.75865,4.65748,4.28873
AASDHPPT,21.0749,22.8522,18.0306,20.0517,22.3244,20.1824
AASS,12.046,13.1494,11.5277,10.787,11.8978,8.98849
AATF,17.4266,14.0211,15.5595,16.2852,15.5223,14.9545
AATK,1.81659,1.4829,1.59449,0.690231,0.739072,0.475792
AATK-AS1,0.33036,0.145409,0.130628,0,0.0669511,0
ABAT,3.17015,2.73003,2.88073,3.34212,3.43181,3.27949
ABCA1,9.15971,8.78897,8.42714,8.95318,9.46917,7.99712
ABCA10,0.074081,0.114124,0.0732309,0.178166,0.195173,0.132198
ABCA11P,2.28243,3.03528,2.61909,2.30801,2.59197,2.65962
ABCA12,0.0806335,0.101403,0.0910953,0.0669403,0.124094,0.12141
ABCA13,0.144366,0.123556,0.105711,0.0759871,0.0704344,0.0636105
ABCA17P,0,0.0250705,0.022522,0,0,0.0225873
ABCA2,14.3426,13.8256,14.8268,12.1713,11.3282,13.1325
ABCA3,2.16378,1.97637,2.48845,0.943075,0.960142,1.05155
ABCA4,0.293213,0.350702,0.441074,0.501711,0.51672,0.543463
ABCA5,0.48178,0.438857,0.607747,0.783859,0.899601,0.530223
ABCA6,0,0,0,0.175395,0.234834,0.159062
ABCA7,3.0196,3.17168,3.5548,4.6514,4.24196,4.58567
ABCA8,0.592452,0.651923,0.471776,7.23223,6.88717,6.60772
ABCA9,0.223336,0.262139,0.294364,0.748723,0.709097,0.605199
ABCB1,0.060354,0.044275,0.119323,0.0219928,0,0.0199449
ABCB10,4.96943,6.0151,6.04226,7.63271,8.13241,8.22753
