"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
"SGPP2",-2.1041844080196,5.66193102354737,-4.70156588233926,1.23415008051767e-05,0.145996481523214,0.307087200098783,"SGPP2"
"MEDAG",2.04349207404662,6.03560738625341,4.57299540742563,1.98788156769074e-05,0.145996481523214,0.26929043118951,"MEDAG"
"PI15",2.53989392452322,5.66557808203324,4.49067796693177,2.68859486156006e-05,0.145996481523214,-0.0757169907656428,"PI15"
"RASGRF2",-1.55694362967867,7.05473385440884,-4.45661069766823,3.04413014018377e-05,0.145996481523214,0.357009905073398,"RASGRF2"
"FKBP5",1.30546562841155,9.19050971528249,4.260023887382,6.17674433626916e-05,0.181576774889251,0.625165196230287,"FKBP5"
"NNMT",1.73192862324606,7.0009779695475,4.25334430391576,6.32526935648418e-05,0.181576774889251,0.0156950019451942,"NNMT"
"DOCK9",-1.49888056616266,8.30861422970872,-4.2402925582897,6.62550784103815e-05,0.181576774889251,0.302751680588938,"DOCK9"
"ANO2",-1.65842779182792,7.30645381122019,-3.95512320265934,0.000179124518415929,0.383847761471033,-0.610565936091186,"ANO2"
"LPP",0.730429695345644,11.7472678143637,3.95357091149108,0.000180078703776027,0.383847761471033,0.41886205387287,"LPP"
"BCL6",1.23382539060738,7.57084406465435,3.83030627108599,0.00027358817860152,0.496482592750021,-0.760110312897387,"BCL6"
"ADGRL4",-1.43680562892399,6.16063840632294,-3.81847949321718,0.000284680385751159,0.496482592750021,-1.11488451259142,"ADGRL4"
"FAM13C",1.24206194799134,7.62785428532117,3.75086249549029,0.000356833693072631,0.57045813065878,-0.872866459162956,"FAM13C"
"PAPPA",1.83627753832016,4.81859358558989,3.71974133490326,0.000395630061332384,0.583828238200035,-1.68004538267662,"PAPPA"
"PTPRB",-1.54364410059502,6.94819908797848,-3.67844231197893,0.000453361388496055,0.62123463406488,-1.22904795082318,"PTPRB"
"EPHA4",-1.43842493467934,6.03135436280325,-3.60218016304354,0.000581680408085805,0.654313606477681,-1.53233439437192,"EPHA4"
"IFT81",1.34838960222515,6.27550071313197,3.57981523186393,0.000625430565262685,0.654313606477681,-1.47029342463872,"IFT81"
"EFNB2",-1.4737688586091,5.98896010883238,-3.56355256176881,0.000659187566758916,0.654313606477681,-1.60599438028676,"EFNB2"
"GPC5",-1.4959731077953,6.90772068136447,-3.54522944000616,0.000699292630559613,0.654313606477681,-1.34681615455634,"GPC5"
"ADAMTSL3",1.56782967712975,4.85840602870545,3.53589913229817,0.000720593797898646,0.654313606477681,-1.93370326935134,"ADAMTSL3"
"SHC2",-1.32650529576259,5.70657090843997,-3.53441363296013,0.000724041493205147,0.654313606477681,-1.70651749415479,"SHC2"
"HRH2",1.56136599761039,5.57899983373461,3.52355353189496,0.000749726189851137,0.654313606477681,-1.77134761791224,"HRH2"
"HBA2",-1.6861073318777,5.26099898250211,-3.51548326662987,0.000769369837491777,0.654313606477681,-1.87758535285438,"HBA2"
"PHLDA2",1.22830904470821,7.22964253771283,3.50941256582634,0.000784466896840423,0.654313606477681,-1.45134307384876,"PHLDA2"
"SORT1",0.898842679352674,9.30638551358166,3.483799939249,0.000851308251626675,0.656565892608853,-1.11046594694721,"SORT1"
"ENPEP",-1.40045246587614,5.41337003567358,-3.48221513889279,0.000855616519767583,0.656565892608853,-1.84671882320792,"ENPEP"
"SUGCT",1.4885352714756,6.08711998174242,3.44020343960974,0.000977643856510059,0.686094859615693,-1.74679563767392,"SUGCT"
"TPM2",0.974952763457352,9.41950435684345,3.43990763284074,0.000978558714249716,0.686094859615693,-1.20276502821379,"TPM2"
"RRAS2",1.16183517329075,6.12296372389687,3.42002548056798,0.00104193899223724,0.686094859615693,-1.80635325051031,"RRAS2"
"TRIM41",-1.35281267036575,5.01205767434916,-3.4138736899921,0.00106232264115355,0.686094859615693,-2.06324732262881,"TRIM41"
"ENG",-1.30471357427951,6.81194922012737,-3.4083313407186,0.00108100897199491,0.686094859615693,-1.735581938416,"ENG"
"SIPA1",-1.35949531042149,5.39454314708394,-3.39586092800438,0.00112419486863931,0.686094859615693,-1.99859919764669,"SIPA1"
"ANGPTL1",1.27443202701673,5.06065272290163,3.39016845553415,0.00114444513697363,0.686094859615693,-2.10796578971875,"ANGPTL1"
"UQCRQ",1.37163376173146,5.73491981662469,3.37131324318887,0.00121400648505965,0.696570832707274,-2.00587495449288,"UQCRQ"
"MYL9",0.797919338323959,11.0169079926594,3.36594225505273,0.00123453963261298,0.696570832707274,-1.15759828289564,"MYL9"
"ARFGEF3",-1.24031728824248,5.65715355760544,-3.35495179909732,0.00127758081074631,0.700260293524494,-2.02812016082854,"ARFGEF3"
"DPY19L2",1.44459115496755,5.17792788175775,3.32454690830671,0.00140413986213573,0.72477887493768,-2.16492449494844,"DPY19L2"
"LMOD1",1.0495299922251,9.17007631793263,3.30800619079747,0.00147785692024458,0.72477887493768,-1.51399669681964,"LMOD1"
"PPM1L",1.00953904473617,8.77716799088861,3.30422328004901,0.00149522045034528,0.72477887493768,-1.56337323618493,"PPM1L"
"CCDC85B",-1.18818128359521,7.04856960533461,-3.29350649743667,0.0015454581638351,0.72477887493768,-1.89862033150857,"CCDC85B"
"SFMBT2",-1.24693251602868,6.53329227487748,-3.2928392540555,0.00154863795687051,0.72477887493768,-1.9268668857151,"SFMBT2"
"RND3",1.21767386528506,6.6517903677484,3.28748198354531,0.00157439229048082,0.72477887493768,-1.94740461740081,"RND3"
"EGFL7",-1.27537450525703,6.84043607248628,-3.28025633924132,0.00160976680476855,0.72477887493768,-1.92006575776892,"EGFL7"
"CCM2L",-1.4946558877386,4.62497981314846,-3.25946157811805,0.0017157852142858,0.72477887493768,-2.4238773787192,"CCM2L"
"HBA1",-1.63302079328116,4.71917356331805,-3.25864196610599,0.0017200952819039,0.72477887493768,-2.39458854624616,"HBA1"
"CMTM8",-1.3748662021669,5.80651983226533,-3.255416757673,0.00173715449876709,0.72477887493768,-2.16870346444275,"CMTM8"
"C12orf57",1.18700213923974,6.51795981491595,3.25094393025163,0.00176107584220904,0.72477887493768,-2.05359699870784,"C12orf57"
"MAGOH",1.29355622068608,4.93355393211921,3.22662685186005,0.00189662908389754,0.72477887493768,-2.39232019990847,"MAGOH"
"COL6A2",0.879179066826472,8.59584319776692,3.22306879290833,0.00191726503570805,0.72477887493768,-1.76536559205699,"COL6A2"
"DHX37",1.33941264080038,4.68070200297525,3.21413666474961,0.00197000081435807,0.72477887493768,-2.46071228117459,"DHX37"
"RIMS2",-1.25800950676143,6.04482037491412,-3.21208891448479,0.00198228095347097,0.72477887493768,-2.19022974374657,"RIMS2"
"RBPMS",0.680173399487049,10.8062461544288,3.20972652120461,0.00199653709246431,0.72477887493768,-1.51906408706485,"RBPMS"
"HSPB6",1.23623563756474,6.64751899693912,3.20113954662345,0.00204916961298198,0.72477887493768,-2.067356323052,"HSPB6"
"ABCB1",-1.43845986237647,7.16340574634862,-3.19997446041086,0.00205641016343261,0.72477887493768,-2.03687493006179,"ABCB1"
"INPP5D",-1.31763977158325,5.14765340701425,-3.19985691088028,0.00205714201682861,0.72477887493768,-2.3697975507394,"INPP5D"
"FAM171A1",-1.27105670964441,5.94343048203997,-3.19653563936966,0.0020779210864039,0.72477887493768,-2.21188330698186,"FAM171A1"
"NFIC",0.946551768885039,7.92425423888691,3.17108450520725,0.0022438006940633,0.749776550604796,-1.97529739963098,"NFIC"
"KDM3A",1.07580621459025,5.98381170309807,3.16530598520639,0.00228315055640602,0.749776550604796,-2.24815965034539,"KDM3A"
"PTPRD",-0.971064593742362,7.10986522838497,-3.16094281794865,0.00231328902462189,0.749776550604796,-2.08725863593191,"PTPRD"
"TAGLN",0.799767169572326,12.2463464868785,3.15801139515251,0.00233374628014236,0.749776550604796,-1.55927972065461,"TAGLN"
"LDHA",1.17054751013812,7.10867719286458,3.15215100493437,0.00237515179461018,0.749776550604796,-2.14045746838636,"LDHA"
"RNF181",1.39576300124,4.64428078121241,3.1484925583956,0.00240134700297359,0.749776550604796,-2.56741900719274,"RNF181"
"EYA2",1.2433933310791,4.86206668657681,3.13527575716488,0.0024982488020566,0.749776550604796,-2.53617994332697,"EYA2"
"RORB",1.39442714571777,5.75176701802601,3.13517177597228,0.00249902544516458,0.749776550604796,-2.33022593472498,"RORB"
"HIST1H1C",1.20570023391678,5.50885172645215,3.13486212079912,0.00250133961836462,0.749776550604796,-2.39942812747459,"HIST1H1C"
"KIAA1549",-1.38973036028213,4.87610975940308,-3.12244664548015,0.00259579147257253,0.766117901689714,-2.54643723819624,"KIAA1549"
"HLF",-1.20873921462958,5.44062401739518,-3.10957384715178,0.00269723111584544,0.783995177672408,-2.43753606112431,"HLF"
"CD164",1.0495449574256,6.51321261109952,3.09291602463205,0.00283399080673874,0.795216472695152,-2.29623141332083,"CD164"
"SLC16A14",-1.2703323522473,4.85135800711978,-3.0911268809864,0.00284905796690837,0.795216472695152,-2.60001663062216,"SLC16A14"
"MLXIP",0.992518910551112,6.36241213534371,3.08729295405524,0.00288159696825149,0.795216472695152,-2.31866786700134,"MLXIP"
"C1S",1.06456194868017,6.5789444248095,3.08440659327291,0.00290632206487452,0.795216472695152,-2.2998676818687,"C1S"
"EMCN",-1.23381028863455,5.67051303528435,-3.08015563138277,0.00294309682867785,0.795216472695152,-2.44243732248529,"EMCN"
"SORBS1",0.729165060211605,10.4202870066355,3.06866654519558,0.00304466898940253,0.811235137398586,-1.8689637439291,"SORBS1"
"MESD",1.15432999948974,5.5202341943445,3.03932040906473,0.00331911865642268,0.856787967893403,-2.53349802980946,"MESD"
"MYRIP",-1.27099057650661,7.15979295660331,-3.03782134373015,0.003333737875506,0.856787967893403,-2.33470966762598,"MYRIP"
"CLIC5",-1.28892622182775,4.80522192247372,-3.03181037997854,0.00339296164668924,0.856787967893403,-2.69713318548094,"CLIC5"
"SEMA6B",-1.14057580655454,5.21852078357864,-3.02940690244888,0.00341691480060321,0.856787967893403,-2.5995876532007,"SEMA6B"
"CD320",-1.18007202370248,5.17983706005317,-3.02302653490889,0.00348126644651119,0.856787967893403,-2.62288776727026,"CD320"
"PATJ",0.980875689001091,7.14423625211879,3.02279682709232,0.00348360412300278,0.856787967893403,-2.31832521993555,"PATJ"
"DPYSL3",1.00779393106287,7.03017668736612,3.01330349917769,0.00358150082951255,0.869715340675553,-2.35247524887196,"DPYSL3"
"PDXDC1",0.964137380507464,7.17955701656438,3.00491959385099,0.00367007570898389,0.870428647097566,-2.35590143975124,"PDXDC1"
"FLT1",-1.3163423125222,8.12859440559875,-3.00147510879516,0.00370705229270868,0.870428647097566,-2.26470909747838,"FLT1"
"UPF3A",1.13208128593416,6.05617990371093,3.00022512935031,0.00372055614376566,0.870428647097566,-2.51082742850344,"UPF3A"
"HBB",-1.31649655557352,5.8188579132241,-2.99262810663639,0.00380361568264538,0.879139316335771,-2.59376123067801,"HBB"
"MECOM",-1.13223126974717,8.68989612502587,-2.98686519846617,0.00386776661669372,0.883324223507766,-2.23369662573894,"MECOM"
"SDC2",1.01183890305847,6.44447879976237,2.98162426397871,0.00392697708739739,0.88629562876037,-2.46641612291128,"SDC2"
"MMP16",-1.22013628576644,5.29548534587932,-2.97169324900258,0.00404148649278289,0.901533452064499,-2.65824315127391,"MMP16"
"COIL",1.24298852837984,5.06251212951877,2.95831640550459,0.0042006234872564,0.926261620454331,-2.74594546653727,"COIL"
